Xで | Yが | つかぬ
XX | Yの -> 国じゃ -> どうだか -> 知らないが -> そうだった -> まさかと -> 出すと | 聞く
XX | Yじゃ -> どうだか -> 知らないが -> そうだった -> まさかと -> 出すと | 聞く
XX | Yじゃ -> そうだった -> まさかと -> 出すと | 聞く
XX | Yが -> 小さい -> 声を -> 出すと | 聞く
XX | Yを -> 出すと | 聞く
XX | Yですかと | 聞く
XX | YYが | 聞く
XX | YY -> しからぬ -> 様子で | 聞く
XX | Yで | 聞く
Xの | Yが -> 付けた -> 事が | ある
Xの | Yを -> 付けた -> 事が | ある
Xの | Yが | ある
X | Yは | 六つくらいだったろう
X | Yでも | 六つくらいだったろう
Xと | Yに -> 出ると | 怒鳴ってくる
Xと | YYから -> 出ると | 怒鳴ってくる
Xと | YYへ -> 出ると | 怒鳴ってくる
Xと | Yに -> 出ると | 怒鳴ってくる
Xと | Yから -> して -> よしかな -> よしかなと | 怒鳴ってくる
Xと | Yを -> して -> よしかな -> よしかなと | 怒鳴ってくる
Xと | Yは -> よしかな -> よしかなと | 怒鳴ってくる
Xと | Yは -> よしかなと | 怒鳴ってくる
XXが | YYの -> 角へ -> 来ると | 食わした
XXが | Yへ -> 来ると | 食わした
XXが | YYと -> 云う -> 呉服屋の -> 前で -> 出っ | 食わした
XXが | YYの -> 前で -> 出っ | 食わした
XXが | Yで -> 出っ | 食わした
XXが | Yに -> 出っ | 食わした
XXと | 云うYは | 呉服屋だ
XXと | Yが -> あって | 呉服屋だ
XXと | YYで -> あって | 呉服屋だ
XXと | Yが -> あって | 呉服屋だ
XXと | YY -> あって | 呉服屋だ
XXと | Y第Yの | 呉服屋だ
Xが | Yと | 云ってね
Xでも | 御Yが -> 亡くなりましたと -> 云うような -> 顔を -> して | 控えている
Xでも | YYYに -> 亡くなりましたと -> 云うような -> 顔を -> して | 控えている
Xでも | 云うYな -> 顔を -> して | 控えている
Xでも | Yを -> して | 控えている
Xでも | Yの -> 所へ | 控えている
Xでも | Yへ | 控えている
XXの | YYという -> 若い衆が -> 坐っているが | している
XXの | YYYYの -> 若い衆が -> 坐っているが | している
XXの | Yが -> 坐っているが | している
XXの | YYがまた -> 帰依して -> 通したと -> 云うような -> 顔を | している
XXの | YYに -> 帰依して -> 通したと -> 云うような -> 顔を | している
XXの | Yして -> 通したと -> 云うような -> 顔を | している
XXの | YYYYYYの -> 間蕎麦湯だけで -> 通したと -> 云うような -> 顔を | している
XXの | YYだけで -> 通したと -> 云うような -> 顔を | している
XXの | 云うYな -> 顔を | している
XXの | Yを | している
XXの | 長Yで | 凭している
XXの | Yは | 凭している
XXの | YYで -> 焚き出されたかの -> ごとく | 凭している
XXの | Yと -> 算盤に | 凭している
XXの | Yに | 凭している
XXの | Yを | 凭している
長XXんで | Yは -> するのか | やっていたんだっけ
長XXんで | YYの -> 話を -> するのか -> するのか | やっていたんだっけ
長XXんで | Yを -> するのか -> するのか | やっていたんだっけ
長XXんで | するYか -> するのか | やっていたんだっけ
長XXんで | Y売りの -> 話を -> するのか | やっていたんだっけ
長XXんで | Yを -> するのか | やっていたんだっけ
長XXんで | するYか | やっていたんだっけ
長XXんで | Y売りの -> 話しを | やっていたんだっけ
XXについても | YYが -> あるんだが -> しておこう -> やめるがいい -> ものか—— | 拭いているのさ
XXについても | あるYだが -> しておこう -> やめるがいい -> ものか—— | 拭いているのさ
XXについても | Yは -> 割愛して -> しておこう -> やめるがいい -> ものか—— | 拭いているのさ
XXについても | Yして -> しておこう -> やめるがいい -> ものか—— | 拭いているのさ
XXについても | Yは -> しておこう -> やめるがいい -> ものか—— | 拭いているのさ
XXについても | Y売りだけに -> しておこう -> やめるがいい -> ものか—— | 拭いているのさ
XXについても | Y売りも -> やめるがいい -> ものか—— | 拭いているのさ
XXについても | Yに -> やめるがいい -> ものか—— | 拭いているのさ
XXについても | Yが -> なる -> 材料だから -> ものか—— | 拭いているのさ
XXについても | YYYの -> 初年頃の -> 女子の -> 品性の -> 比較について -> なる -> 材料だから -> ものか—— | 拭いているのさ
XXについても | Yと -> 初年頃の -> 女子の -> 品性の -> 比較について -> なる -> 材料だから -> ものか—— | 拭いているのさ
XXについても | Y -> 初年頃の -> 女子の -> 品性の -> 比較について -> なる -> 材料だから -> ものか—— | 拭いているのさ
XXについても | 初Yの -> 女子の -> 品性の -> 比較について -> なる -> 材料だから -> ものか—— | 拭いているのさ
XXについても | Yの -> 品性の -> 比較について -> なる -> 材料だから -> ものか—— | 拭いているのさ
XXについても | Yの -> 比較について -> なる -> 材料だから -> ものか—— | 拭いているのさ
XXについても | Yについて -> なる -> 材料だから -> ものか—— | 拭いているのさ
XXについても | Yなる -> 参考に -> なる -> 材料だから -> ものか—— | 拭いているのさ
XXについても | Yに -> なる -> 材料だから -> ものか—— | 拭いているのさ
XXについても | Yだから -> ものか—— | 拭いているのさ
XXについても | YかY | 拭いているのさ
XXについても | Yで -> くると | 拭いているのさ
XXについても | Yが -> くると | 拭いているのさ
XXについても | Yと -> 伊勢源の -> 前まで -> くると | 拭いているのさ
XXについても | YYの -> 前まで -> くると | 拭いているのさ
XXについても | Yまで -> くると | 拭いているのさ
XXについても | Yの -> 人売りが -> 見て -> どうです -> 買っておくんなさいと -> 云いながら -> おろして | 拭いているのさ
XXについても | Y売りが -> 見て -> どうです -> 買っておくんなさいと -> 云いながら -> おろして | 拭いているのさ
XXについても | Yを -> 見て -> どうです -> 買っておくんなさいと -> 云いながら -> おろして | 拭いているのさ
XXについても | YYの -> 仕舞物は -> どうです -> 買っておくんなさいと -> 云いながら -> おろして | 拭いているのさ
XXについても | YYは -> どうです -> 買っておくんなさいと -> 云いながら -> おろして | 拭いているのさ
XXについても | 買っておくYなさいと -> 云いながら -> おろして | 拭いているのさ
XXについても | Yを -> おろして | 拭いているのさ
XXについても | Yを | 拭いているのさ
Xの | Yには | 入れてある
Xの | Yに | 入れてある
Xの | YYYに | 入れてある
Xの | YYYとも | 入れてある
Xの | YYばかりの -> 女の子が | 入れてある
Xの | Yが | 入れてある
Xは | Yに -> 向って -> 安ければ -> 買ってもいいが | なっちまいました
Xは | YY -> 聞くと | なっちまいました
Xは | Yは | なっちまいました
Xは | Y -> 売り尽して | なっちまいました
Xは | Yに | なっちまいました
Xでも | Yを -> 持って -> 出すと | 云った
Xでも | Yで -> 持って -> 出すと | 云った
Xでも | Yか -> 何ぞのように -> 出すと | 云った
Xでも | YぞのYに -> 出すと | 云った
Xでも | Yの -> 鼻の -> 先へ -> 出すと | 云った
Xでも | Yの -> 先へ -> 出すと | 云った
Xでも | Yへ -> 出すと | 云った
Xでも | Yは | 云った
Xでも | Yを -> 叩いて -> 見てはは | 云った
Xでも | あYな -> 音だと | 云った
Xでも | Yだと | 云った
Xが | YY -> 切った -> 末おやじが -> 買っても好いが -> 聞くと | 知れません
Xが | YYが -> 買っても好いが -> 聞くと | 知れません
Xが | Yは -> たしかだろうなと -> 聞くと | 知れません
Xが | Yだろうなと -> 聞くと | 知れません
Xが | ええYの -> 奴は -> 見ているから -> ないんですから | 知れません
Xが | Yは -> 見ているから -> ないんですから | 知れません
Xが | YYは -> ないんですから | 知れません
Xが | Yに -> 担いでる -> 方は -> ないんですから | 知れません
Xが | Yは -> ないんですから | 知れません
Xが | Yが -> ないんですから | 知れません
Xが | ないYですから | 知れません
Xが | Yが -> 入ってるかも | 知れません
Xの | Yなら -> 受け合えない -> 代りに -> 引いておきますと | 云った
Xの | Yに -> 引いておきますと | 云った
Xの | YYを -> 引いておきますと | 云った
Xは | Yを -> 記憶しているんだが -> ものだと | 思ったよ
Xは | YしているYだが -> ものだと | 思ったよ
Xは | Y -> 云う -> ものは -> ものだと | 思ったよ
Xは | 小YYに -> 云う -> ものは -> ものだと | 思ったよ
Xは | Yと -> 云う -> ものは -> ものだと | 思ったよ
Xは | Yは -> ものだと | 思ったよ
Xは | Yの -> ならない -> ものだと | 思ったよ
Xは | Yだと | 思ったよ
X | Y -> 三十八年の -> 今日 -> して -> 売って -> あるく -> ものも -> なし | 聞かないようだ
X | YYYYの -> 今日 -> して -> 売って -> あるく -> ものも -> なし | 聞かないようだ
X | Y -> して -> 売って -> あるく -> ものも -> なし | 聞かないようだ
X | Yな -> 真似を -> して -> 売って -> あるく -> ものも -> なし | 聞かないようだ
X | Yを -> して -> 売って -> あるく -> ものも -> なし | 聞かないようだ
X | Yを -> 売って -> あるく -> ものも -> なし | 聞かないようだ
X | Yも -> なし | 聞かないようだ
X | Yを -> 放して -> 担いだ -> 方は | 聞かないようだ
X | Yへ -> 担いだ -> 方は | 聞かないようだ
X | Yは | 聞かないようだ
X | YYだなどと -> 云う -> 事も | 聞かないようだ
X | Yも | 聞かないようだ
Xの | Yでは -> ものだろうと -> 断定するのだが | 寒月君
Xの | YYの -> 御蔭で -> 進歩した -> ものだろうと -> 断定するのだが | 寒月君
Xの | Yで -> 進歩した -> ものだろうと -> 断定するのだが | 寒月君
Xの | Yの -> 品行も -> 進歩した -> ものだろうと -> 断定するのだが | 寒月君
Xの | Yも -> 進歩した -> ものだろうと -> 断定するのだが | 寒月君
Xの | Yした -> ものだろうと -> 断定するのだが | 寒月君
Xの | Yだろうと -> 断定するのだが | 寒月君
Xの | YするYだが | 寒月君
XXは | Yを -> する -> 前に -> 一つして見せたが | 述べられた
XXは | Yに -> 一つして見せたが | 述べられた
XXは | Yな -> 咳払を -> 一つして見せたが | 述べられた
XXは | YYを -> 一つして見せたが | 述べられた
XXは | Yして見せたが | 述べられた
XXは | Yで | 述べられた
XXは | Yを | 述べられた
Xの | Yは | おいや
Xの | Yの -> 行き帰りや -> 合奏会や -> 慈善会や -> 園遊会で -> 買って頂戴な | おいや
Xの | Yや -> 合奏会や -> 慈善会や -> 園遊会で -> 買って頂戴な | おいや
Xの | YYや -> 慈善会や -> 園遊会で -> 買って頂戴な | おいや
Xの | Yや -> 園遊会で -> 買って頂戴な | おいや
Xの | Yで -> 買って頂戴な | おいや
Xの | 買ってYな | おいや
Xで | Yを -> 売りに -> あるいていますから -> 雇って | ないですよ
Xで | Yの -> お余りを -> 雇って | ないですよ
Xで | おYを -> 雇って | ないですよ
Xで | Yは -> よしかなんて -> やる -> 必要は | ないですよ
Xで | Yな -> 托販売を -> やる -> 必要は | ないですよ
Xで | YYを -> やる -> 必要は | ないですよ
Xで | Yは | ないですよ
Xに | YYが -> 発達してくると -> なる | ものです
Xに | Yしてくると -> なる | ものです
Xに | Yこんな -> 風に -> なる | ものです
Xに | Yに -> なる | ものです
Xなんぞ | Yを -> して -> 云いますが | 表しているのです
Xなんぞ | Yが -> 趨勢ですから -> 現象だと | 表しているのです
Xなんぞ | Yの -> 趨勢ですから -> 現象だと | 表しているのです
Xなんぞ | Yですから -> 現象だと | 表しているのです
Xなんぞ | Yなどは -> 現象だと | 表しているのです
Xなんぞ | Yに -> 喜ばしい -> 現象だと | 表しているのです
Xなんぞ | Yだと | 表しているのです
Xなんぞ | Yに | 表しているのです
Xなんぞ | Yの -> 意を | 表しているのです
Xなんぞ | Yを | 表しているのです
Xだって | Yを -> 敲いて -> いないんですから | さあ
Xだって | Yは -> いないんですから | さあ
Xだって | Yかなんて -> 聞くような -> 野暮は -> いないんですから | さあ
Xだって | 聞くYな -> 野暮は -> いないんですから | さあ
Xだって | Yは -> いないんですから | さあ
Xだって | YYも -> いないんですから | さあ
Xだって | いないYですから | さあ
Xだって | Yは | さあ
Xだって | Yな -> もので | さあ
Xだって | Yで | さあ
Xな | Yに | ありませんからね
Xな | Yを -> する -> 日にゃあ | ありませんからね
Xな | Yにゃあ | ありませんからね
Xな | Yが | ありませんからね
XXに | YYに -> なったって -> 持つ -> 事も -> 行く -> 事も -> 出来やしません -> 寒月君は | 吹き付けた
XXに | Yを -> 持つ -> 事も -> 行く -> 事も -> 出来やしません -> 寒月君は | 吹き付けた
XXに | Yも -> 行く -> 事も -> 出来やしません -> 寒月君は | 吹き付けた
XXに | Yに -> 行く -> 事も -> 出来やしません -> 寒月君は | 吹き付けた
XXに | Yも -> 出来やしません -> 寒月君は | 吹き付けた
XXに | YYは | 吹き付けた
XXに | YYYの -> 青年だけ -> あって -> 開陳しておいて -> ふう -> ーと -> 顔の -> 方へ | 吹き付けた
XXに | Yだけ -> あって -> 開陳しておいて -> ふう -> ーと -> 顔の -> 方へ | 吹き付けた
XXに | Yに -> 開陳しておいて -> ふう -> ーと -> 顔の -> 方へ | 吹き付けた
XXに | YYの -> 考を -> 開陳しておいて -> ふう -> ーと -> 顔の -> 方へ | 吹き付けた
XXに | Yを -> 開陳しておいて -> ふう -> ーと -> 顔の -> 方へ | 吹き付けた
XXに | Yしておいて -> ふう -> ーと -> 顔の -> 方へ | 吹き付けた
XXに | Yの -> 煙を -> ふう -> ーと -> 顔の -> 方へ | 吹き付けた
XXに | Yを -> ふう -> ーと -> 顔の -> 方へ | 吹き付けた
XXに | Yと -> 顔の -> 方へ | 吹き付けた
XXに | YYの -> 顔の -> 方へ | 吹き付けた
XXに | Yの -> 方へ | 吹き付けた
XXに | Yへ | 吹き付けた
Xは | Yの -> 煙くらいで -> 辟易する | 男ではない
Xは | Yくらいで -> 辟易する | 男ではない
Xは | Yする | 男ではない
Xの | Y | 至りだ
Xの | Yの -> 女生徒 -> 令嬢などは | 至りだ
Xの | 女Y -> 令嬢などは | 至りだ
Xの | Yなどは | 至りだ
Xの | YYの -> 念から -> 出来ていて -> 負けない -> ところが | 至りだ
Xの | Yから -> 出来ていて -> 負けない -> ところが | 至りだ
Xの | Yも -> 肉も -> 出来ていて -> 負けない -> ところが | 至りだ
Xの | Yも -> 出来ていて -> 負けない -> ところが | 至りだ
Xの | Yまで -> 出来ていて -> 負けない -> ところが | 至りだ
Xの | Yでも -> 負けない -> ところが | 至りだ
Xの | Yに -> 負けない -> ところが | 至りだ
Xの | Yが | 至りだ
Xの | Yの | 至りだ
Xの | Yの -> 女学校の -> 生徒などと -> 来たら | ものだぜ
Xの | Yの -> 生徒などと -> 来たら | ものだぜ
Xの | Yなどと -> 来たら | ものだぜ
Xを | Yへ -> ぶら下がるから | 感心だ
Xは | YYの -> 窓から -> 目撃する -> たんびに -> 追懐するよ -> 希臘かと -> 冷笑するように -> 云い放つと | ない
Xは | Yから -> 目撃する -> たんびに -> 追懐するよ -> 希臘かと -> 冷笑するように -> 云い放つと | ない
Xは | Yの -> 体操を -> 目撃する -> たんびに -> 追懐するよ -> 希臘かと -> 冷笑するように -> 云い放つと | ない
Xは | Yを -> 目撃する -> たんびに -> 追懐するよ -> 希臘かと -> 冷笑するように -> 云い放つと | ない
Xは | Yする -> たんびに -> 追懐するよ -> 希臘かと -> 冷笑するように -> 云い放つと | ない
Xは | Yに -> 追懐するよ -> 希臘かと -> 冷笑するように -> 云い放つと | ない
Xは | YYYの -> 婦人を -> 追懐するよ -> 希臘かと -> 冷笑するように -> 云い放つと | ない
Xは | Yを -> 追懐するよ -> 希臘かと -> 冷笑するように -> 云い放つと | ない
Xは | Yするよ -> 希臘かと -> 冷笑するように -> 云い放つと | ない
Xは | YYかと -> 冷笑するように -> 云い放つと | ない
Xは | Yが -> 冷笑するように -> 云い放つと | ない
Xは | YするYに -> 云い放つと | ない
Xは | Yな -> 感じの -> する -> ものは -> 発しているから | ない
Xは | Yの -> する -> ものは -> 発しているから | ない
Xは | Yは -> 発しているから | ない
Xは | YYから -> 発しているから | ない
Xは | Yを -> 発しているから | ない
Xは | Yが | ない
XXと | YYとは | 離れられないやね
X | Yの -> 黒い -> 女学生が -> している -> ところを -> 拝見すると -> 思い出すのさと -> しゃべり | 立てる
X | Yが -> している -> ところを -> 拝見すると -> 思い出すのさと -> しゃべり | 立てる
X | Yに -> している -> ところを -> 拝見すると -> 思い出すのさと -> しゃべり | 立てる
X | Yを -> している -> ところを -> 拝見すると -> 思い出すのさと -> しゃべり | 立てる
X | Yを -> 拝見すると -> 思い出すのさと -> しゃべり | 立てる
X | Yすると -> 思い出すのさと -> しゃべり | 立てる
X | Yは -> 思い出すのさと -> しゃべり | 立てる
X | Yでも -> 思い出すのさと -> しゃべり | 立てる
X | Yの -> 逸話を -> 思い出すのさと -> しゃべり | 立てる
X | Yを -> 思い出すのさと -> しゃべり | 立てる
X | 思い出すYさと -> しゃべり | 立てる
X | YYに -> しゃべり | 立てる
Xが | YYは | にやにやする
Xは | Yだよ | 感心したね
Xは | Yは | 感心したね
X | YYの -> 法律で -> 営業する -> 事を | 禁じてあった
X | Yで -> 営業する -> 事を | 禁じてあった
X | Yが -> 営業する -> 事を | 禁じてあった
X | Yを -> 営業する -> 事を | 禁じてあった
X | Yする -> 事を | 禁じてあった
X | Yを | 禁じてあった
Xだって | Yを -> 感ずるだろうじゃないか -> 云うのは | 名前だよ
Xだって | そのY -> 云うのは | 名前だよ
Xだって | 云うYは | 名前だよ
Xだって | YY | 名前だよ
Xだって | Yの | 名前だよ
Xが | Yが -> なれないのは -> 情けない | 極まる
Xが | Yに -> なれないのは -> 情けない | 極まる
Xが | なれないYは -> 情けない | 極まる
Xが | Y | 極まる
Xに | Yだ -> あるまいかと -> 拱いて | 考え込んだね
Xに | Yに -> なる -> 工夫は -> あるまいかと -> 拱いて | 考え込んだね
Xに | Yは -> あるまいかと -> 拱いて | 考え込んだね
Xに | YY -> 三晩手を -> 拱いて | 考え込んだね
Xに | YYYを -> 拱いて | 考え込んだね
XXXの | YYに -> 聞いて | 行った
XXXの | Yの -> 家で -> 泣いた -> 声を -> 聞いて | 行った
XXXの | Yで -> 泣いた -> 声を -> 聞いて | 行った
XXXの | Yが -> おぎゃあと -> 泣いた -> 声を -> 聞いて | 行った
XXXの | Yを -> 聞いて | 行った
XXXの | YYして | 行った
XXXの | Yから -> 切って -> きて | 行った
XXXの | Yを -> 切って -> きて | 行った
XXXの | Yの -> 着物を -> きて | 行った
XXXの | Yを -> きて | 行った
XXXの | Yの -> 講義を | 行った
XXXの | Yを | 行った
XXXの | Yに | 行った
X | Yを -> きき終せて -> 云う -> ところで -> もって | 開業した
X | Yと -> 云う -> ところで -> もって | 開業した
X | Yで -> もって | 開業した
X | Yを | 開業した
Xでも | Yでも | 生れる
Xが | Y -> 世話なんだから | 儲かった
Xが | Yの -> 世話なんだから | 儲かった
Xが | YなYだから | 儲かった
Xが | Y | 儲かった
XXXの | Y -> 七転び八起き -> 弱り目に -> 祟り目で -> 破ったと -> 云う -> ところで -> 仰せつけられそうになりました -> 事 | 旨いでしょう
XXXの | Y -> 弱り目に -> 祟り目で -> 破ったと -> 云う -> ところで -> 仰せつけられそうになりました -> 事 | 旨いでしょう
XXXの | Yに -> 祟り目で -> 破ったと -> 云う -> ところで -> 仰せつけられそうになりました -> 事 | 旨いでしょう
XXXの | Yで -> 破ったと -> 云う -> ところで -> 仰せつけられそうになりました -> 事 | 旨いでしょう
XXXの | Yが -> 及んで -> 破ったと -> 云う -> ところで -> 仰せつけられそうになりました -> 事 | 旨いでしょう
XXXの | Yに -> 及んで -> 破ったと -> 云う -> ところで -> 仰せつけられそうになりました -> 事 | 旨いでしょう
XXXの | Yの -> 御法度を -> 破ったと -> 云う -> ところで -> 仰せつけられそうになりました -> 事 | 旨いでしょう
XXXの | Yを -> 破ったと -> 云う -> ところで -> 仰せつけられそうになりました -> 事 | 旨いでしょう
XXXの | Yで -> 仰せつけられそうになりました -> 事 | 旨いでしょう
XXXの | 御Yに -> 仰せつけられそうになりました -> 事 | 旨いでしょう
XXXの | 仰せつけられYになりました -> 事 | 旨いでしょう
XXXの | Y見たYです -> 事 | 旨いでしょう
XXXの | Y | 旨いでしょう
XXの | Yが -> 一同連署して -> 及んだから -> 出来ず -> 告げました -> 感心ねえ | 知っていますよ
XXの | YYして -> 及んだから -> 出来ず -> 告げました -> 感心ねえ | 知っていますよ
XXの | Yに -> 及んだから -> 出来ず -> 告げました -> 感心ねえ | 知っていますよ
XXの | Yの -> 御奉行も -> 括ったような -> 挨拶も -> 出来ず -> 告げました -> 感心ねえ | 知っていますよ
XXの | 御Yも -> 括ったような -> 挨拶も -> 出来ず -> 告げました -> 感心ねえ | 知っていますよ
XXの | Yで -> 括ったような -> 挨拶も -> 出来ず -> 告げました -> 感心ねえ | 知っていますよ
XXの | Yを -> 括ったような -> 挨拶も -> 出来ず -> 告げました -> 感心ねえ | 知っていますよ
XXの | 括ったYな -> 挨拶も -> 出来ず -> 告げました -> 感心ねえ | 知っていますよ
XXの | Yも -> 出来ず -> 告げました -> 感心ねえ | 知っていますよ
XXの | Yは -> 無罪放免 -> 事と -> 云う -> 御布令さえ -> 出て -> 告げました -> 感心ねえ | 知っていますよ
XXの | YY -> 事と -> 云う -> 御布令さえ -> 出て -> 告げました -> 感心ねえ | 知っていますよ
XXの | Yたりとも -> 産婆営業勝手たるべき -> 事と -> 云う -> 御布令さえ -> 出て -> 告げました -> 感心ねえ | 知っていますよ
XXの | YYYたるべき -> 事と -> 云う -> 御布令さえ -> 出て -> 告げました -> 感心ねえ | 知っていますよ
XXの | Yと -> 云う -> 御布令さえ -> 出て -> 告げました -> 感心ねえ | 知っていますよ
XXの | 御Yさえ -> 出て -> 告げました -> 感心ねえ | 知っていますよ
XXの | Yを -> 告げました -> 感心ねえ | 知っていますよ
XXの | Yな -> 事を -> 知っていらっしゃるのね -> 感心ねえ | 知っていますよ
XXの | Yを -> 知っていらっしゃるのね -> 感心ねえ | 知っていますよ
XXの | 知っていらっしゃるYね -> 感心ねえ | 知っていますよ
XXの | Yねえ | 知っていますよ
XXの | ええYの -> 事は | 知っていますよ
XXの | Yは | 知っていますよ
知らないXは | Yの -> 事くらいな | ものです
知らないXは | Yな -> 事くらいな | ものです
知らないXは | Yくらいな | ものです
Xも | Y -> 面白い事ばかりと -> 崩して -> 笑っていると | 鳴る
Xも | 面白いYばかりと -> 崩して -> 笑っていると | 鳴る
Xも | YYYを -> 崩して -> 笑っていると | 鳴る
Xも | Yの -> ベルが -> 相変らず -> 着けた -> 時と -> 同じような -> 音を -> 出して | 鳴る
Xも | Yが -> 相変らず -> 着けた -> 時と -> 同じような -> 音を -> 出して | 鳴る
Xも | Yと -> 同じような -> 音を -> 出して | 鳴る
Xも | 同じYな -> 音を -> 出して | 鳴る
Xも | Yを -> 出して | 鳴る
御XXだと | Yは | 引き下がる
御XXだと | Yへ | 引き下がる
Xと | Yへ -> 這入って来た -> ものは -> 誰かと -> 思ったら | 越智東風君であった
Xと | Yは -> 誰かと -> 思ったら | 越智東風君であった
Xと | Yかと -> 思ったら | 越智東風君であった
Xと | Yの | 越智東風君であった
Xへ | YYさえ -> くれば -> 行かずとも -> なったと | 云わねばならぬ
Xへ | Yの -> 家へ -> 出入する -> 変人は -> 行かずとも -> なったと | 云わねばならぬ
Xへ | Yへ -> 出入する -> 変人は -> 行かずとも -> なったと | 云わねばならぬ
Xへ | Yする -> 変人は -> 行かずとも -> なったと | 云わねばならぬ
Xへ | Yは -> 行かずとも -> なったと | 云わねばならぬ
Xへ | Yし尽したとまで -> 行かずとも -> なったと | 云わねばならぬ
Xへ | Yの -> 無聊を -> 慰むるに -> 足る -> ほどの -> 頭数は -> なったと | 云わねばならぬ
Xへ | Yを -> 慰むるに -> 足る -> ほどの -> 頭数は -> なったと | 云わねばならぬ
Xへ | Yは -> なったと | 云わねばならぬ
Xへ | 御Yに -> なったと | 云わねばならぬ
Xで | Yを -> 云っては | 勿体ない
X悪るく | Yの -> 家へ -> 飼われたが | 死んでしまうかも知れない
X悪るく | Yへ -> 飼われたが | 死んでしまうかも知れない
X悪るく | Y -> 先生方が -> あろうとさえ -> 気が付かずに | 死んでしまうかも知れない
X悪るく | Y -> かかる -> 先生方が -> あろうとさえ -> 気が付かずに | 死んでしまうかも知れない
X悪るく | YYに -> かかる -> 先生方が -> あろうとさえ -> 気が付かずに | 死んでしまうかも知れない
X悪るく | YYが -> あろうとさえ -> 気が付かずに | 死んでしまうかも知れない
X悪るく | YYでも -> あろうとさえ -> 気が付かずに | 死んでしまうかも知れない
Xに | YYYYの -> 猫児と -> なって -> 侍べるので | 光栄である
Xに | YYと -> なって -> 侍べるので | 光栄である
Xに | YYYの -> 前に -> 侍べるので | 光栄である
Xに | Yに -> 侍べるので | 光栄である
Xに | Yべるので | 光栄である
Xに | Yは | 光栄である
Xに | YY -> 寒月乃至 -> 東風などと -> 云う -> 東京にさえ -> ない -> 一騎当千の -> 豪傑連の -> 挙止動作を -> 寝ながら -> 拝見するのは | 光栄である
Xに | Y乃至 -> 東風などと -> 云う -> 東京にさえ -> ない -> 一騎当千の -> 豪傑連の -> 挙止動作を -> 寝ながら -> 拝見するのは | 光栄である
Xに | Yなどと -> 云う -> 東京にさえ -> ない -> 一騎当千の -> 豪傑連の -> 挙止動作を -> 寝ながら -> 拝見するのは | 光栄である
Xに | Yにさえ -> ない -> 一騎当千の -> 豪傑連の -> 挙止動作を -> 寝ながら -> 拝見するのは | 光栄である
Xに | Yの -> ない -> 一騎当千の -> 豪傑連の -> 挙止動作を -> 寝ながら -> 拝見するのは | 光栄である
Xに | Yの -> 豪傑連の -> 挙止動作を -> 寝ながら -> 拝見するのは | 光栄である
Xに | YYの -> 挙止動作を -> 寝ながら -> 拝見するのは | 光栄である
Xに | YYを -> 寝ながら -> 拝見するのは | 光栄である
Xに | YするYは | 光栄である
Xに | Yにとって | 光栄である
Xに | Yの | 光栄である
Xで | YYで -> つつまれていると -> 云う -> 難儀も -> 忘れて -> 消光する -> 事が -> 出来るのは | 至りである
Xで | Yも -> 忘れて -> 消光する -> 事が -> 出来るのは | 至りである
Xで | Yを -> 消光する -> 事が -> 出来るのは | 至りである
Xで | Yする -> 事が -> 出来るのは | 至りである
Xで | Yが -> 出来るのは | 至りである
Xで | 出来るYは | 至りである
Xで | Yの | 至りである
Xだけ | Yでは | すまない
Xか | Yの -> 陰から -> 謹んで | 拝見する
Xか | Yから -> 謹んで | 拝見する
御Xを | YYの -> 顔を -> 見ると | 光っている
御Xを | Yを -> 見ると | 光っている
御Xを | Yのごとく | 光っている
御Xを | Yに | 光っている
Xだけで | Yすると -> 見えるが | 思えない
Xだけで | Yか -> 緞帳役者のようにも -> 見えるが | 思えない
Xだけで | YのYにも -> 見えるが | 思えない
Xだけで | Yの -> 袴の -> ゴワゴワするのを -> 穿いている -> ところは | 思えない
Xだけで | Yの -> ゴワゴワするのを -> 穿いている -> ところは | 思えない
Xだけで | YするYを -> 穿いている -> ところは | 思えない
Xだけで | Yにも -> 鹿爪らしく -> 穿いている -> ところは | 思えない
Xだけで | YYらしく -> 穿いている -> ところは | 思えない
Xだけで | Yは | 思えない
Xだけで | YYの -> 内弟子としか | 思えない
Xだけで | Yとしか | 思えない
XXの | Yで -> 人間らしい -> ところは | 間だけである
XXの | Yの -> 人間らしい -> ところは | 間だけである
XXの | Yらしい -> ところは | 間だけである
XXの | Yは | 間だけである
XXの | Yから -> 腰までの | 間だけである
XXの | Yまでの | 間だけである
XへX | Yと | する
XへX | YYは | する
XへX | Yの -> 家らしい -> 挨拶を | する
XへX | Yらしい -> 挨拶を | する
XへX | Yを | する
Xには | Y久しく -> かかりません | 朗読会ぎりだったね
Xには | 御Yに -> かかりません | 朗読会ぎりだったね
Xには | Yの | 朗読会ぎりだったね
XXと | Yは | 御盛かね
Xは | Yに -> 拍手したぜ -> たかい -> ありますかと | 出す
Xは | Yしたぜ -> たかい -> ありますかと | 出す
Xは | YYが -> 付いて -> たかい -> ありますかと | 出す
Xは | ええYで -> 出まして -> 漕ぎつけました -> ありますかと | 出す
Xは | Yが -> 出まして -> 漕ぎつけました -> ありますかと | 出す
Xは | Yは -> ありますかと | 出す
Xは | 御Yが -> ありますかと | 出す
Xは | Yが | 出す
Xは | Yを | 出す
XXXXは | Yには -> やりたいと | 思っております
XXXXは | Yか -> やりたいと | 思っております
